participant,task,technique,question,score
0,Move,ForceEdge,mental,8
0,Move,ForceEdge,physical,9
0,Move,ForceEdge,temporal,2
0,Move,ForceEdge,performance,18
0,Move,ForceEdge,effort,10
0,Move,ForceEdge,frustration,4
0,Move,Baseline,mental,14
0,Move,Baseline,physical,18
0,Move,Baseline,temporal,3
0,Move,Baseline,performance,14
0,Move,Baseline,effort,7
0,Move,Baseline,frustration,20
0,Select,ForceEdge,mental,6
0,Select,ForceEdge,physical,12
0,Select,ForceEdge,temporal,1
0,Select,ForceEdge,performance,18
0,Select,ForceEdge,effort,11
0,Select,ForceEdge,frustration,5
0,Select,Baseline,mental,2
0,Select,Baseline,physical,13
0,Select,Baseline,temporal,2
0,Select,Baseline,performance,16
0,Select,Baseline,effort,13
0,Select,Baseline,frustration,13
1,Move,ForceEdge,mental,3
1,Move,ForceEdge,physical,15
1,Move,ForceEdge,temporal,3
1,Move,ForceEdge,performance,15
1,Move,ForceEdge,effort,14
1,Move,ForceEdge,frustration,6
1,Move,Baseline,mental,8
1,Move,Baseline,physical,12
1,Move,Baseline,temporal,3
1,Move,Baseline,performance,13
1,Move,Baseline,effort,12
1,Move,Baseline,frustration,9
1,Select,ForceEdge,mental,3
1,Select,ForceEdge,physical,13
1,Select,ForceEdge,temporal,3
1,Select,ForceEdge,performance,15
1,Select,ForceEdge,effort,12
1,Select,ForceEdge,frustration,4
1,Select,Baseline,mental,3
1,Select,Baseline,physical,6
1,Select,Baseline,temporal,3
1,Select,Baseline,performance,11
1,Select,Baseline,effort,11
1,Select,Baseline,frustration,11
2,Move,ForceEdge,mental,1
2,Move,ForceEdge,physical,1
2,Move,ForceEdge,temporal,1
2,Move,ForceEdge,performance,20
2,Move,ForceEdge,effort,1
2,Move,ForceEdge,frustration,1
2,Move,Baseline,mental,2
2,Move,Baseline,physical,2
2,Move,Baseline,temporal,1
2,Move,Baseline,performance,8
2,Move,Baseline,effort,3
2,Move,Baseline,frustration,17
2,Select,ForceEdge,mental,2
2,Select,ForceEdge,physical,3
2,Select,ForceEdge,temporal,2
2,Select,ForceEdge,performance,15
2,Select,ForceEdge,effort,3
2,Select,ForceEdge,frustration,2
2,Select,Baseline,mental,2
2,Select,Baseline,physical,1
2,Select,Baseline,temporal,1
2,Select,Baseline,performance,15
2,Select,Baseline,effort,3
2,Select,Baseline,frustration,2
3,Move,ForceEdge,mental,9
3,Move,ForceEdge,physical,16
3,Move,ForceEdge,temporal,9
3,Move,ForceEdge,performance,11
3,Move,ForceEdge,effort,9
3,Move,ForceEdge,frustration,3
3,Move,Baseline,mental,4
3,Move,Baseline,physical,10
3,Move,Baseline,temporal,9
3,Move,Baseline,performance,8
3,Move,Baseline,effort,5
3,Move,Baseline,frustration,13
3,Select,ForceEdge,mental,11
3,Select,ForceEdge,physical,14
3,Select,ForceEdge,temporal,9
3,Select,ForceEdge,performance,12
3,Select,ForceEdge,effort,9
3,Select,ForceEdge,frustration,3
3,Select,Baseline,mental,4
3,Select,Baseline,physical,6
3,Select,Baseline,temporal,9
3,Select,Baseline,performance,15
3,Select,Baseline,effort,5
3,Select,Baseline,frustration,2
4,Move,ForceEdge,mental,10
4,Move,ForceEdge,physical,12
4,Move,ForceEdge,temporal,4
4,Move,ForceEdge,performance,10
4,Move,ForceEdge,effort,11
4,Move,ForceEdge,frustration,8
4,Move,Baseline,mental,14
4,Move,Baseline,physical,18
4,Move,Baseline,temporal,4
4,Move,Baseline,performance,6
4,Move,Baseline,effort,17
4,Move,Baseline,frustration,20
4,Select,ForceEdge,mental,12
4,Select,ForceEdge,physical,10
4,Select,ForceEdge,temporal,1
4,Select,ForceEdge,performance,9
4,Select,ForceEdge,effort,8
4,Select,ForceEdge,frustration,11
4,Select,Baseline,mental,4
4,Select,Baseline,physical,14
4,Select,Baseline,temporal,1
4,Select,Baseline,performance,10
4,Select,Baseline,effort,8
4,Select,Baseline,frustration,6
5,Move,ForceEdge,mental,5
5,Move,ForceEdge,physical,16
5,Move,ForceEdge,temporal,12
5,Move,ForceEdge,performance,7
5,Move,ForceEdge,effort,12
5,Move,ForceEdge,frustration,12
5,Move,Baseline,mental,9
5,Move,Baseline,physical,3
5,Move,Baseline,temporal,12
