participant,textmethod,task,time
1,standard,transcription,245
2,prediction,transcription,246
3,speech,transcription,178
4,standard,composition,256
5,prediction,composition,265
6,speech,composition,189
7,standard,transcription,236
8,prediction,transcription,213
9,speech,transcription,289
10,standard,composition,269
11,prediction,composition,232
12,speech,composition,321
13,standard,transcription,321
14,prediction,transcription,265
15,speech,transcription,222
16,standard,composition,333
17,prediction,composition,254
18,speech,composition,202
19,standard,transcription,212
20,prediction,transcription,189
21,speech,transcription,189
22,standard,composition,246
23,prediction,composition,199
24,speech,composition,198
25,standard,transcription,267
26,prediction,transcription,201
27,speech,transcription,245
28,standard,composition,259
29,prediction,composition,194
30,speech,composition,278
31,standard,transcription,334
32,prediction,transcription,197
33,speech,transcription,311
34,standard,composition,357
35,prediction,composition,221
36,speech,composition,341
37,standard,transcription,287
38,prediction,transcription,289
39,speech,transcription,267
40,standard,composition,301
41,prediction,composition,302
42,speech,composition,279
43,standard,transcription,259
44,prediction,transcription,224
45,speech,transcription,197
46,standard,composition,278
47,prediction,composition,243
48,speech,composition,229
