participant,textmethod,time
1,Standard,245
2,Standard,236
3,Standard,321
4,Standard,212
5,Standard,267
6,Standard,334
7,Standard,287
8,Standard,259
9,Prediction,246
10,Prediction,213
11,Prediction,265
12,Prediction,189
13,Prediction,201
14,Prediction,197
15,Prediction,289
16,Prediction,224
17,Speech-based dictation,178
18,Speech-based dictation,289
19,Speech-based dictation,222
20,Speech-based dictation,189
21,Speech-based dictation,245
22,Speech-based dictation,311
23,Speech-based dictation,267
24,Speech-based dictation,197
