participant,textmethod,task,time
1,standard,transcription,245
1,prediction,transcription,246
1,speech,transcription,178
2,standard,composition,256
2,prediction,composition,265
2,speech,composition,189
3,standard,transcription,236
3,prediction,transcription,213
3,speech,transcription,289
4,standard,composition,269
4,prediction,composition,232
4,speech,composition,321
5,standard,transcription,321
5,prediction,transcription,265
5,speech,transcription,222
6,standard,composition,333
6,prediction,composition,254
6,speech,composition,202
7,standard,transcription,212
7,prediction,transcription,189
7,speech,transcription,189
8,standard,composition,246
8,prediction,composition,199
8,speech,composition,198
9,standard,transcription,267
9,prediction,transcription,201
9,speech,transcription,245
10,standard,composition,259
10,prediction,composition,194
10,speech,composition,278
11,standard,transcription,334
11,prediction,transcription,197
11,speech,transcription,311
12,standard,composition,357
12,prediction,composition,221
12,speech,composition,341
13,standard,transcription,287
13,prediction,transcription,289
13,speech,transcription,267
14,standard,composition,301
14,prediction,composition,302
14,speech,composition,279
15,standard,transcription,259
15,prediction,transcription,224
15,speech,transcription,197
16,standard,composition,278
16,prediction,composition,243
16,speech,composition,229
